      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 11   13:05:05  36626      0   13:25:13  28550      0
 10   05:31:24  24927      0   05:39:51  20857      0
  9   04:00:52  20359      0   04:08:31  14320      0
  8   03:50:09  24293      0   03:55:53  19346      0
  7   04:15:34  20275      0   04:18:25  18721      0
  6   01:41:38  23582      0   01:42:18  22743      0
  5   08:00:33  46455      0   08:01:34  44320      0
  4   04:56:44  38560      0   04:59:00  36694      0
  3   04:24:39  33893      0   04:30:44  30152      0
  2   01:18:11  18920      0   01:29:29  17833      0
  1   01:18:18  14752      0   01:19:24  13699      0
